date,flight_incidents,expected_model,holiday_factor,mercury_status,dow,f_dow,month,f_season,year,f_trend,doy,f_holiday,expected,anomaly_ratio
2001-01-01,235,240.5,1.3,Direct,0,0.9784612380883227,1,0.9996245420584758,2001,0.9928692626428245,1,1.261613190684482,241.94001641201524,0.9713151362270033
2001-01-02,227,216.45000000000002,1.3,Direct,1,0.8839643308108992,1,0.9996245420584758,2001,0.9928692626428245,2,1.2614021126870445,218.53759232035907,1.0387228924314116
2001-01-03,222,240.5,1.3,Direct,2,0.9825404288774342,1,0.9996245420584758,2001,0.9928692626428245,3,1.2263631651124045,236.16056877091327,0.9400383864054389
2001-01-04,245,240.5,1.3,Direct,3,0.9776404521062471,1,0.9996245420584758,2001,0.9928692626428245,4,1.2341730510175952,236.4792728412019,1.036031602501247
2001-01-05,295,276.575,1.3,Direct,4,1.1249310833405575,1,0.9996245420584758,2001,0.9928692626428245,5,1.2491595888356644,275.41126636801215,1.0711253896411517
2001-01-06,171,185.0,1.0,Direct,5,0.9778872717454233,1,0.9996245420584758,2001,0.9928692626428245,6,0.9722252561975446,186.33461965570044,0.9177038615581208
2001-01-07,195,203.50000000000003,1.0,Direct,6,1.074685078762027,1,0.9996245420584758,2001,0.9928692626428245,7,0.9722252561975446,204.77926360913997,0.9522448541088342
2001-01-08,182,185.0,1.0,Direct,0,0.9784612380883227,1,0.9996245420584758,2001,0.9928692626428245,8,0.9585051863641013,183.8128851475592,0.9901373337015853
2001-01-09,171,166.5,1.0,Direct,1,0.8839643308108992,1,0.9996245420584758,2001,0.9928692626428245,9,0.9724363341949823,168.4743453513879,1.014991330836421
2001-01-10,176,185.0,1.0,Direct,2,0.9825404288774342,1,0.9996245420584758,2001,0.9928692626428245,10,0.9403524785844685,181.0835342296762,0.9719271315787965
2001-01-11,183,185.0,1.0,Direct,3,0.9776404521062471,1,0.9996245420584758,2001,0.9928692626428245,11,0.9732806461847326,186.48981136835678,0.9812868523875352
2001-01-12,199,212.74999999999997,1.0,Direct,4,1.1249310833405575,1,0.9996245420584758,2001,0.9928692626428245,12,0.9468958965050337,208.76899981867223,0.9532066550725579
2001-01-13,189,185.0,1.0,Direct,5,0.9778872717454233,1,0.9996245420584758,2001,0.9928692626428245,13,0.9633599803051658,184.63551978042048,1.0236383563941003
2001-01-14,208,203.50000000000003,1.0,Direct,6,1.074685078762027,1,0.9996245420584758,2001,0.9928692626428245,14,0.9386638546049677,197.71024430522047,1.0520446258661966
2001-01-15,177,185.0,1.0,Direct,0,0.9784612380883227,1,0.9996245420584758,2001,0.9928692626428245,15,0.9447851165306579,181.18178240926557,0.9769194101434576
2001-01-16,174,166.5,1.0,Direct,1,0.8839643308108992,1,0.9996245420584758,2001,0.9928692626428245,16,0.9354976846434038,162.07473379582183,1.0735788109897584
2001-01-17,167,185.0,1.0,Direct,2,0.9825404288774342,1,0.9996245420584758,2001,0.9928692626428245,17,0.9067910769918914,174.62062021339815,0.9563589901119052
2001-01-18,175,185.0,1.0,Direct,3,0.9776404521062471,1,0.9996245420584758,2001,0.9928692626428245,18,0.9445740385332203,180.98935282441914,0.9669077062769017
2001-01-19,204,212.74999999999997,1.0,Direct,4,1.1249310833405575,1,0.9996245420584758,2001,0.9928692626428245,19,0.9530171584307239,210.11859879208765,0.9708802608276386
2001-01-20,187,185.0,1.0,Direct,5,0.9778872717454233,1,0.9996245420584758,2001,0.9928692626428245,20,0.9829902340668618,188.3978123613975,0.9925805276405433
2001-01-21,232,203.50000000000003,1.0,Direct,6,1.074685078762027,1,0.9996245420584758,2001,0.9928692626428245,21,0.9599827323461644,202.20062763664106,1.1473752713414376
2001-01-22,189,185.0,1.0,Direct,0,0.9784612380883227,1,0.9996245420584758,2001,0.9928692626428245,22,0.9724363341949823,186.48446638951884,1.0134892393944859
2001-01-23,145,166.5,1.0,Direct,1,0.8839643308108992,1,0.9996245420584758,2001,0.9928692626428245,23,0.9327536706767151,161.5993340802655,0.8972809252294276
2001-01-24,152,185.0,1.0,Direct,2,0.9825404288774342,1,0.9996245420584758,2001,0.9928692626428245,24,0.9314872026920896,179.37634939518765,0.8473803849420848
2001-01-25,181,185.0,1.0,Direct,3,0.9776404521062471,1,0.9996245420584758,2001,0.9928692626428245,25,0.9646264482897914,184.83158489555206,0.9792698585703451
2001-01-26,228,212.74999999999997,1.0,Direct,4,1.1249310833405575,1,0.9996245420584758,2001,0.9928692626428245,26,0.968425852243668,213.51586517344364,1.0678363400058848
2001-01-27,176,185.0,1.0,Direct,5,0.9778872717454233,1,0.9996245420584758,2001,0.9928692626428245,27,0.934442294656216,179.09321780629307,0.9827284480999237
2001-01-28,186,203.50000000000003,1.0,Direct,6,1.074685078762027,1,0.9996245420584758,2001,0.9928692626428245,28,0.969481242230856,204.20129347737296,0.910865924659827
2001-01-29,197,185.0,1.0,Direct,0,0.9784612380883227,1,0.9996245420584758,2001,0.9928692626428245,29,0.9365530746305918,179.60312076628938,1.096862900597081
2001-01-30,174,166.5,1.0,Direct,1,0.8839643308108992,1,0.9996245420584758,2001,0.9928692626428245,30,0.9314872026920896,161.37991882693183,1.0782010628385696
2001-01-31,196,185.0,1.0,Direct,2,0.9825404288774342,1,0.9996245420584758,2001,0.9928692626428245,31,0.948373442487097,182.6281300323087,1.0732191145215455
2001-02-01,174,180.0,1.0,Direct,3,0.9776404521062471,2,0.9366184527713911,2001,0.9928692626428245,32,0.9382416986100925,179.77601638090346,0.9678710403246147
2001-02-02,225,206.99999999999997,1.0,Direct,4,1.1249310833405575,2,0.9366184527713911,2001,0.9928692626428245,33,0.9411967905742188,207.51247663652688,1.0842721538816376
2001-02-03,173,180.0,1.0,Direct,5,0.9778872717454233,2,0.9366184527713911,2001,0.9928692626428245,34,0.921988692807398,176.7063870291141,0.9790251665973826
