source,question_type,outcome,moon_phase,via_combusta,moon_void,moon_sign
synthetic,lost_item,False,303.26233260415637,False,False,11
synthetic,job,True,152.76055403665475,False,True,1
synthetic,job,False,322.52547715807077,False,False,5
synthetic,lawsuit,False,266.8378003945289,False,False,5
synthetic,journey,True,57.87836622615626,True,False,7
synthetic,health,True,237.40815971058873,False,False,11
synthetic,lost_item,True,49.511972994919766,False,False,2
synthetic,job,False,272.72305900213075,False,False,0
synthetic,relationship,True,117.29118296491674,False,False,11
synthetic,lost_item,False,141.66549520251743,False,False,0
synthetic,journey,True,298.74752957933174,False,False,5
synthetic,job,False,210.64909254554522,False,False,3
synthetic,lawsuit,False,345.11823145843005,False,False,4
synthetic,lawsuit,True,293.432621811084,False,False,2
synthetic,lost_item,True,82.81070037137624,False,False,2
synthetic,lost_item,False,347.8075856460435,False,True,3
synthetic,lost_item,True,279.96726611563645,False,False,4
synthetic,journey,True,358.7112754532941,False,False,1
synthetic,relationship,True,43.587689512728275,False,False,9
synthetic,relationship,True,103.01795813335316,False,False,4
synthetic,relationship,True,167.18039786449646,False,False,6
synthetic,job,True,136.73761410209408,False,False,9
synthetic,journey,False,279.68338574817477,True,False,6
synthetic,relationship,False,169.32283299432459,False,False,9
synthetic,lost_item,False,179.09665091277952,False,False,9
synthetic,lost_item,False,165.60725913596562,False,False,4
synthetic,lost_item,True,46.30438747037641,False,False,1
synthetic,relationship,True,199.37760430513458,False,False,8
synthetic,lawsuit,True,182.33192202368005,False,False,5
synthetic,relationship,True,315.46620056451155,False,False,0
synthetic,lost_item,False,175.89750383790005,False,False,9
synthetic,health,False,250.6028707808064,False,True,11
synthetic,relationship,True,292.8258890309682,False,False,7
synthetic,lost_item,True,197.69688016777957,False,False,1
synthetic,lost_item,True,212.68671834934025,False,False,10
synthetic,health,False,307.4645510598107,False,False,1
synthetic,lost_item,True,108.41244747622908,False,False,4
synthetic,relationship,False,281.4390937660579,False,False,10
synthetic,journey,False,349.19031588787544,False,False,8
synthetic,lost_item,False,305.16180566847873,False,False,3
synthetic,lost_item,False,207.26938954474252,False,False,5
synthetic,lost_item,True,166.51627302399598,False,False,10
synthetic,job,True,83.21407374511733,False,False,11
synthetic,lawsuit,False,101.94592503319619,False,True,3
synthetic,lawsuit,True,65.98728696086289,True,False,7
synthetic,lost_item,False,253.08921144025797,False,False,2
synthetic,lawsuit,True,111.82605129073863,False,False,2
synthetic,relationship,True,141.17130909868183,False,True,2
synthetic,relationship,False,70.34480755771577,False,True,9
synthetic,lawsuit,False,266.60529160688634,False,False,5
synthetic,journey,False,101.87329773645965,False,False,10
synthetic,journey,True,16.92003523806764,False,False,7
synthetic,job,False,35.43174922518742,False,False,9
synthetic,job,False,359.1727451800581,False,False,4
synthetic,lawsuit,False,312.9728316478395,True,False,6
synthetic,lost_item,False,57.33024120143982,False,False,4
synthetic,relationship,False,292.1500345083766,False,False,0
synthetic,lost_item,False,312.89765055937306,False,False,0
synthetic,lawsuit,True,153.8821091645751,False,False,4
synthetic,journey,True,359.9541874998973,False,False,11
synthetic,relationship,False,150.42760122204737,False,False,1
synthetic,job,True,261.5139266388109,False,False,3
synthetic,relationship,False,5.623115345056505,False,False,5
synthetic,lawsuit,False,68.04081005399918,False,False,4
synthetic,lawsuit,True,139.22663758981355,False,True,9
synthetic,health,False,125.46653739551681,False,False,9
synthetic,lost_item,False,113.47306565958183,False,False,1
synthetic,relationship,False,96.39743341623637,True,False,6
synthetic,lost_item,False,298.01412849312663,True,False,7
synthetic,lost_item,False,78.66845634105624,False,False,3
synthetic,relationship,True,72.65246546318326,False,False,0
synthetic,journey,True,127.5595888126515,False,False,2
synthetic,lost_item,True,151.94068958847487,False,False,10
synthetic,lawsuit,True,24.794702629841783,False,False,1
synthetic,health,True,183.01134401290398,False,False,7
synthetic,job,True,130.62812291925837,False,False,10
synthetic,job,True,246.97678158449804,False,False,9
synthetic,lawsuit,False,43.395591346494,False,False,5
synthetic,lost_item,True,325.9024269098164,False,False,8
synthetic,job,True,357.8469701681445,False,False,1
synthetic,lost_item,False,214.41636194278703,False,False,8
synthetic,lawsuit,True,319.63761751063714,False,False,3
synthetic,journey,True,135.66848914562968,False,False,8
synthetic,job,False,107.1573665455636,False,True,10
synthetic,lost_item,False,157.86151278230756,False,False,0
synthetic,job,False,261.4621320894072,False,False,4
synthetic,relationship,False,330.1853440798143,False,False,4
synthetic,lawsuit,False,77.57703392257069,False,False,6
synthetic,lost_item,False,171.7008398877369,False,False,11
synthetic,journey,True,144.0665209954406,False,True,11
synthetic,job,True,311.45276815548164,False,False,8
synthetic,job,False,54.83300531018443,False,False,1
synthetic,relationship,True,358.79749481752606,False,False,9
synthetic,journey,True,264.1709619347707,False,False,1
synthetic,lawsuit,False,329.8048442377301,False,False,4
synthetic,health,False,43.788230426711976,False,False,3
synthetic,lawsuit,True,44.664018085682216,True,False,7
synthetic,health,False,330.6731401945367,False,True,4
synthetic,lawsuit,True,107.57220174946306,False,True,7
synthetic,journey,True,284.4888149303448,False,False,5
synthetic,job,False,321.05884850012364,False,False,5
synthetic,job,True,24.98115424981475,True,False,7
synthetic,journey,True,348.5637731713916,False,True,3
synthetic,journey,True,99.8719783079228,False,False,1
synthetic,relationship,True,131.97306422888536,False,False,0
synthetic,lawsuit,True,190.39814067603822,False,True,1
synthetic,lost_item,True,350.19675913526567,False,True,7
synthetic,lawsuit,False,324.64610757828126,True,False,7
synthetic,journey,True,30.90204056874839,True,False,7
synthetic,job,True,18.373397279674293,False,True,11
synthetic,health,True,206.14104361040296,False,False,3
synthetic,job,False,82.6371073167382,False,False,9
synthetic,journey,False,288.8164252242227,False,False,9
synthetic,relationship,False,53.34181888992927,False,False,8
synthetic,job,False,24.902291314121136,False,True,2
synthetic,lost_item,False,70.48982829803558,False,True,5
synthetic,health,False,97.07575298303931,False,False,11
synthetic,relationship,True,195.88068481158402,False,False,1
synthetic,health,True,288.15744780737003,False,False,11
synthetic,health,True,327.1024908510281,False,False,6
synthetic,journey,True,212.69390593079922,False,False,1
synthetic,job,True,150.22162515841134,False,False,5
synthetic,lawsuit,False,183.80182712659294,False,False,11
synthetic,lost_item,False,345.1848918653666,False,False,5
synthetic,job,True,359.14087579018815,False,False,10
synthetic,health,False,288.1404922514606,False,False,1
synthetic,lawsuit,True,70.1820664841263,False,False,10
synthetic,relationship,False,200.54935223127714,False,False,3
synthetic,health,False,34.729875091762665,False,False,8
synthetic,journey,True,106.96770943309951,False,False,11
synthetic,journey,False,148.96614520490706,False,False,5
synthetic,journey,False,276.2450770566305,False,False,5
synthetic,relationship,False,264.0945080298585,False,False,3
synthetic,journey,True,275.36899976282155,False,False,5
synthetic,lost_item,False,79.61480458668277,False,True,7
synthetic,journey,False,253.2277586324323,False,False,10
synthetic,lost_item,True,95.53321452867985,False,False,9
synthetic,health,False,202.19418945931037,True,False,7
synthetic,relationship,False,137.75276319123918,False,False,4
synthetic,relationship,True,263.943178792078,False,False,3
synthetic,job,True,351.71888780000097,False,False,7
synthetic,lost_item,True,117.01469274766183,False,False,1
synthetic,lost_item,True,142.97858242809218,False,False,7
synthetic,journey,False,300.1426503054871,False,False,6
synthetic,journey,True,49.31646762104839,False,False,9
synthetic,job,True,338.06667580711405,False,False,10
synthetic,lost_item,False,25.4195463174685,False,False,7
synthetic,lawsuit,True,111.96953215876721,False,False,3
synthetic,lost_item,True,308.9189200253805,False,True,10
synthetic,lost_item,True,315.79933049610787,False,False,11
synthetic,relationship,False,20.55025220357433,False,False,5
synthetic,health,False,188.24171834760415,False,False,9
synthetic,relationship,True,135.28974218774178,False,False,6
synthetic,relationship,False,88.0269979531283,False,False,5
synthetic,job,True,23.104595071766482,True,False,6
synthetic,lost_item,False,257.9485774737442,True,False,6
synthetic,journey,True,339.73188088364594,False,False,9
synthetic,lawsuit,False,199.0525067395377,True,False,6
synthetic,lawsuit,True,353.84167118421107,False,False,11
synthetic,lawsuit,False,60.400030933992134,False,False,3
synthetic,journey,True,314.5365664793966,False,True,7
synthetic,lawsuit,True,336.22529287883214,False,False,0
synthetic,relationship,True,62.227815099082136,False,False,8
synthetic,relationship,True,230.57811706229793,False,False,5
synthetic,journey,True,106.58499531752304,False,False,8
synthetic,lost_item,False,336.6085905551383,False,False,10
synthetic,lawsuit,False,95.62574688264843,False,False,8
synthetic,relationship,True,140.74115192963373,False,False,9
