,deep_sleep_min,total_sleep_hrs,count
1,90.6,7.659999999999999,5.0
2,,,
3,,,
4,86.5,7.3,6.0
5,86.66666666666667,7.333333333333333,6.0
6,,,
7,,,
8,82.625,7.1,8.0
9,82.25,7.1,4.0
10,88.0,7.4,1.0
11,,,
12,77.25,6.85,8.0
13,79.5,6.95,4.0
14,76.0,6.8,1.0
15,74.0,6.675,8.0
16,75.6,6.76,5.0
17,,,
18,,,
19,80.83333333333333,7.016666666666667,6.0
20,78.66666666666667,6.883333333333333,6.0
21,,,
22,89.0,7.5,1.0
23,84.25,7.175,4.0
24,83.71428571428571,7.142857142857143,7.0
25,,,
26,,,
27,87.83333333333333,7.3999999999999995,6.0
28,88.0,7.4,5.0
29,89.0,7.5,1.0
30,90.14285714285714,7.6,7.0

