name,field,sun_lon,conjunctions,num_conjunctions,has_royal_star
Marilyn Monroe,overdose,70.12505341064228,Aldebaran,1,True
Elvis Presley,cardiac,286.9773731004239,Vega,1,False
John Lennon,homicide,196.30907917042737,None,0,False
Michael Jackson,overdose,155.4591650805372,None,0,False
Prince (musician),overdose,76.47797455712772,None,0,False
Whitney Houston,overdose,136.5371564115,None,0,False
David Bowie,cancer,287.2455397133652,Vega,1,False
Amy Winehouse,overdose,171.5282507745974,None,0,False
George Harrison,cancer,335.51204776694254,None,0,False
Freddie Mercury,disease,162.07417701282043,None,0,False
Kurt Cobain,suicide,331.4673055237564,None,0,False
Janis Joplin,overdose,298.44988259633004,None,0,False
Jimi Hendrix,overdose,244.53976738845614,None,0,False
Jim Morrison,overdose,255.52334864069286,None,0,False
Frank Sinatra,cardiac,259.0071731920378,None,0,False
Dean Martin,disease,76.10028965978299,None,0,False
Sammy Davis Jr,cancer,255.80970019112738,None,0,False
Nat King Cole,cancer,355.59851121488674,None,0,False
Ray Charles,disease,179.7306773751569,None,0,False
Johnny Cash,disease,336.50058772290794,None,0,False
June Carter Cash,cardiac,91.58907718032367,None,0,False
Roy Orbison,cardiac,33.26372725292884,None,0,False
Buddy Holly,accident,164.80405731493587,None,0,False
Ritchie Valens,accident,51.91784853953112,None,0,False
Big Bopper,accident,210.35585115700715,None,0,False
Otis Redding,accident,166.15737441747575,None,0,False
Sam Cooke,homicide,301.5144033407429,None,0,False
Marvin Gaye,homicide,12.328053257036956,None,0,False
Barry White,disease,169.74367166048845,None,0,False
Isaac Hayes,cardiac,146.6700245476632,None,0,False
Luther Vandross,cardiac,29.723532496669325,None,0,False
Rick James,cardiac,311.5462084396289,None,0,False
Donna Summer,cancer,280.17002146967366,None,0,False
Etta James,disease,304.7053794672371,None,0,False
Dinah Washington,overdose,155.52041973369722,None,0,False
Billie Holiday,disease,16.202883750438218,None,0,False
Ella Fitzgerald,disease,34.86162223946346,None,0,False
Sarah Vaughan,cancer,6.75473008709547,None,0,False
Nina Simone,disease,332.1724699960473,None,0,False
Ike Turner,overdose,221.94018920981802,None,0,False
Chuck Berry,cardiac,204.14487653481297,Spica,1,True
Little Richard,cancer,253.21011149141185,None,0,False
Fats Domino,natural,336.6579487597412,None,0,False
Bo Diddley,cardiac,278.5715639279684,None,0,False
Muddy Waters,cardiac,14.114050163869875,None,0,False
Howlin Wolf,disease,78.70968907352415,None,0,False
BB King,disease,173.08566514615532,None,0,False
Albert King,cardiac,34.26007025723682,None,0,False
Stevie Ray Vaughan,accident,189.86595399720935,None,0,False
Duane Allman,accident,237.6515628680278,None,0,False
Berry Oakley,accident,14.624389965687131,None,0,False
Ronnie Van Zant,accident,294.25932160201927,None,0,False
Steve Gaines,accident,171.32507661207822,None,0,False
Randy Rhoads,accident,254.36364946822061,None,0,False
Cliff Burton,accident,321.0677097398853,None,0,False
Dimebag Darrell,homicide,147.017439930737,None,0,False
Bon Scott,overdose,106.66111559190318,None,0,False
Keith Moon,overdose,149.74126750692074,Regulus,1,True
John Bonham,overdose,69.91834732921662,Aldebaran,1,True
Tommy Bolin,overdose,128.42974738146728,None,0,False
Sid Vicious,overdose,49.55428107074456,None,0,False
GG Allin,overdose,156.10304284348732,None,0,False
Layne Staley,overdose,148.7072136999441,Regulus,1,True
Shannon Hoon,overdose,182.70903397381377,None,0,False
Bradley Nowell,overdose,332.9329443950715,None,0,False
Hillel Slovak,overdose,23.081285918057834,None,0,False
Andrew Wood,overdose,287.7633722630662,None,0,False
Kristen Pfaff,overdose,64.55133453417908,None,0,False
Jonathan Melvoin,overdose,254.1351863015142,None,0,False
Chris Cornell,suicide,117.77789185880732,None,0,False
Chester Bennington,suicide,359.8416793874498,None,0,False
Scott Weiland,overdose,213.37606126217426,None,0,False
Tom Petty,overdose,206.5283955359741,None,0,False
Glenn Frey,disease,223.99140029787745,None,0,False
Maurice Gibb,disease,270.3235062360888,None,0,False
Robin Gibb,cancer,270.3235062360888,None,0,False
Andy Gibb,cardiac,344.41276125075893,None,0,False
Karen Carpenter,cardiac,341.33378854063835,None,0,False
Cass Elliot,cardiac,176.14527218892,None,0,False
Dusty Springfield,cancer,25.60490969695043,Algol,1,False
Laura Nyro,cancer,204.2624261131681,Spica,1,True
Minnie Riperton,cancer,225.23408961782013,None,0,False
Selena,homicide,25.850316432499486,Algol,1,False
Aaliyah,accident,295.75873935333954,None,0,False
Lisa Left Eye Lopes,accident,65.55714297449812,None,0,False
Notorious BIG,homicide,60.521246177788065,None,0,False
Tupac Shakur,homicide,84.69633506134836,None,0,False
Eazy-E,disease,164.8789638284183,None,0,False
Big Pun,cardiac,227.42978938062117,None,0,False
ODB,overdose,233.19350392921635,None,0,False
Big L,homicide,68.70104596704687,Aldebaran,1,True
Jam Master Jay,homicide,301.25119132455615,None,0,False
Scott La Rock,homicide,341.42892276635223,None,0,False
DJ Screw,overdose,117.12537308936461,None,0,False
Pimp C,overdose,277.6389307268993,None,0,False
Mac Miller,overdose,298.66274159437216,None,0,False
Lil Peep,overdose,219.34343117410313,None,0,False
XXXTentacion,homicide,303.2746921445727,None,0,False
Juice WRLD,overdose,250.09660690816366,Antares,1,True
Pop Smoke,homicide,117.34599443106792,None,0,False
Nipsey Hussle,homicide,142.5959893583,None,0,False
Princess Diana,accident,99.70278291628615,None,0,False
Robin Williams,suicide,117.98068508190903,None,0,False
Steve Jobs,cancer,335.4127540767799,None,0,False
Heath Ledger,overdose,13.900161086731185,None,0,False
Philip Seymour Hoffman,overdose,120.01934626004905,None,0,False
Carrie Fisher,cardiac,208.10231062526026,None,0,False
Alan Rickman,cancer,331.7571808552402,None,0,False
Leonard Nimoy,disease,4.726734154728581,None,0,False
Patrick Swayze,cancer,145.1079236643889,None,0,False
Farrah Fawcett,cancer,312.9437371355841,None,0,False
Cory Monteith,overdose,50.46558190825449,None,0,False
James Dean,accident,318.6434487086692,None,0,False
Marlon Brando,disease,13.910522553203176,None,0,False
Clark Gable,cardiac,311.6979234066807,None,0,False
Humphrey Bogart,cancer,273.52621032801414,None,0,False
Spencer Tracy,cardiac,15.005027125883991,None,0,False
Gary Cooper,cancer,45.973676103801346,None,0,False
John Wayne,cancer,63.94091739819924,None,0,False
Cary Grant,cardiac,296.5274759779726,None,0,False
James Stewart,cardiac,59.44047320157329,None,0,False
Henry Fonda,cardiac,54.92837673156775,None,0,False
Gregory Peck,natural,15.206591359574533,None,0,False
Burt Lancaster,cardiac,219.47067493578214,None,0,False
Kirk Douglas,natural,257.0377595878827,None,0,False
Rock Hudson,disease,234.22015823129655,None,0,False
Montgomery Clift,cardiac,203.81539296355487,Spica,1,True
William Holden,accident,26.659964652353363,Algol,1,False
