metric,value
full_moon_mean,10440.46951702296
non_full_mean,10429.691729871645
ratio,1.0010333754276215
t_stat,0.19201417136285
t_p,0.8477337086991097
anova_f,0.008969612068939778
anova_p,0.998835393995605
lr_statistic,20.22447906062007
lr_p_value,4.057982523275605e-05
sin_coef,0.0005057145859814639
cos_coef,-2.9487596387557527e-05
aic_null,2582048.6547019472
aic_lunar,2582032.4302228866
rayleigh_z,287.86828180920435
rayleigh_p,9.557328060579844e-126
pac_mi,5.871188027173279e-07
mean_angle,355.03870309686965
lunar_day_anova_f,0.1084118533427739
lunar_day_anova_p,0.9999999995084736
peak_lunar_day,11.0
trough_lunar_day,18.0
